name,country,state,city,logo,rulesets,website,wftdaWebsite,tags,isDeleted,lat,lng
Dockyard Roller Derby,us,,"Tacoma, WA, us",/img/leagues/WFTDA/Dockyard-Roller-Derby.png,WFTDA,,https://wftda.com/wftda-leagues/dockyard-roller-derby/,[],FALSE,47.2455013,-122.438329
Dolly Rockit Rollers,gb,,"Leicestershire, England, gb",/img/leagues/WFTDA/dolly-rockit-rollers.png,WFTDA,,https://wftda.com/wftda-leagues/dolly-rockit-rollers/,[],FALSE,52.666667,-1.0
Dominion Derby Girls,us,,"Virginia Beach, VA, us",/img/leagues/WFTDA/dominion-derby-girls.png,WFTDA,,https://wftda.com/wftda-leagues/dominion-derby-girls/,[],FALSE,36.8496579,-75.9760751
Downriver Roller Dolls,us,,"Woodhaven, MI, us",/img/leagues/WFTDA/downriver-roller-dolls.png,WFTDA,,https://wftda.com/wftda-leagues/downriver-roller-dolls/,[],FALSE,42.1370519,-83.2451066
Roller Derby Dresden,de,,"Dresden, de",/img/leagues/WFTDA/Roller-Derby-Dresden.png,WFTDA,,https://wftda.com/wftda-leagues/roller-derby-dresden/,[],FALSE,51.0493286,13.7381437
Dublin Roller Derby,ie,,"Dublin, ie",/img/leagues/WFTDA/Dublin-Roller-Derby-e1535045033954.png,WFTDA,,https://wftda.com/wftda-leagues/dublin-roller-derby/,[],FALSE,53.3493795,-6.2605593
Elevated Roller Derby,us,,"Albuquerque, NM, us",/img/leagues/WFTDA/Elevated-Roller-Derby.png,WFTDA,,https://wftda.com/wftda-leagues/elevated-roller-derby/,[],FALSE,35.0841034,-106.650985
Durango Roller Girls,us,,"Durango, CO, us",/img/leagues/WFTDA/durango-roller-girls.png,WFTDA,,https://wftda.com/wftda-leagues/durango-roller-girls/,[],FALSE,37.2769484,-107.8766
Dutchland Derby Rollers,us,,"Lancaster, PA, us",/img/leagues/WFTDA/dutchland-derby-rollers.png,WFTDA,,https://wftda.com/wftda-leagues/dutchland-derby-rollers/,[],FALSE,40.0379958,-76.3056707
Erie Roller Derby,us,,"Erie, PA, us",/img/leagues/WFTDA/Erie-Roller-Derby.png,WFTDA,,https://wftda.com/wftda-leagues/erie-roller-derby/,[],FALSE,42.1294712,-80.0852695
